Tytuł,Firma,Data opublikowania,Wynagrodzenie,Technologie,Link
Administrator Systemów / DevOps,PARLETO sp. z o.o.,2025-01-07,5 500–15 000,Brak technologii,"https://www.pracuj.pl/praca/administrator-systemow-devops-gdansk-szafera-3,oferta,1003786564?s=885d2942&searchId=MTczNjI5NzkxODA0Ni4yNzY="
JavaScript / Frontend Developer,PARLETO sp. z o.o.,2025-01-07,4 500–15 000,"['JavaScript', 'HTML', 'CSS']","https://www.pracuj.pl/praca/javascript-frontend-developer-gdansk-szafera-3,oferta,1003786578?s=885d2942&searchId=MTczNjI5NzkxODA0Ni4yNzY="
Brak tytułu,Giganci Programowania sp. z o.o.,2025-01-07,40–60 zł / godz. (zal. od umowy),Brak technologii,Brak linku
Service Desk Specialist,ASTEK Polska,2025-01-07,5 500–7 000 zł brutto / mies.,['Salesforce'],"https://www.pracuj.pl/praca/service-desk-specialist-poznan,oferta,1003804035?s=885d2942&searchId=MTczNjI5NzkxODA0Ni4yNzY="
Desktop Support Engineer,Sharp Brains,2025-01-07,8 000–10 000,['Active Directory'],"https://www.pracuj.pl/praca/desktop-support-engineer-warszawa-postepu-21,oferta,1003804054?s=885d2942&searchId=MTczNjI5NzkxODA0Ni4yNzY="
Desktop Support Engineer,Sharp Brains,2025-01-07,8 000–10 000,['Active Directory'],"https://www.pracuj.pl/praca/desktop-support-engineer-debica-1-maja-1,oferta,1003804055?s=885d2942&searchId=MTczNjI5NzkxODA0Ni4yNzY="
Administrator Sieci AD,GRUPA-INFORMATYCZNA.PL,2025-01-07,5 000–8 000 zł netto (+ VAT) / mies.,"['Windows', 'Linux']","https://www.pracuj.pl/praca/administrator-sieci-ad-warszawa-dzieci-warszawy-48,oferta,1003804060?s=885d2942&searchId=MTczNjI5NzkxODA0Ni4yNzY="
Technical Supporter with French - Networking,Concentrix CVG International Sp. z o.o.,2025-01-07,6 000–6 500 zł brutto / mies.,Brak technologii,"https://www.pracuj.pl/praca/technical-supporter-with-french-networking-szczecin-plac-brama-portowa-1,oferta,1003804250?s=885d2942&searchId=MTczNjI5NzkxODA0Ni4yNzY="
Junior Software Development Engineer - Messaging Platform,REMITLY POLAND SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,2025-01-07,16 000–18 000 zł brutto / mies.,Brak technologii,"https://www.pracuj.pl/praca/junior-software-development-engineer-messaging-platform-krakow-pawia-17,oferta,1003813847?s=885d2942&searchId=MTczNjI5NzkxODA0Ni4yNzY="
Brak tytułu,Accenture Intelligent Consulting Hub Europe,2025-01-07,Brak wynagrodzenia,['Python'],Brak linku
