Tytuł,Firma,Data opublikowania,Wynagrodzenie,Technologie,Link,Wynagrodzenie_min,Wynagrodzenie_max,Waluta,Wynagrodzenie_avg
Lead Java Engineer,N-iX,2025-01-08,25392-30716pln,"['Fully remote', 'Spring Boot', 'Maven', 'Java']",https://justjoin.it/job-offer/n-ix-lead-java-engineer-warszawa-java-f4f4f615,25392.0,30716.0,PLN,28054.0
Senior C++ Software Engineer,HERE Technologies,2025-01-08,14000-20000pln,"['Fully remote', 'C++', 'Python', 'TypeScript']",https://justjoin.it/job-offer/here-technologies-senior-c-software-engineer-krakow-other,14000.0,20000.0,PLN,17000.0
Senior DevOps Engineer (AWS),Future Processing,2025-01-08,21000-33200pln,"['Fully remote', 'AWS', 'Terraform', 'Kubernetes']",https://justjoin.it/job-offer/future-processing-senior-devops-engineer-aws--gliwice-devops,21000.0,33200.0,PLN,27100.0
Lead Data Engineer (Snowflake),N-iX,2025-01-08,26620-32764pln,"['Fully remote', 'Cloud', 'DBT', 'SQL']",https://justjoin.it/job-offer/n-ix-lead-data-engineer-snowflake--warszawa-data,26620.0,32764.0,PLN,29692.0
QA Engineer,AVSystem,2025-01-08,10000-18000pln,"['Networks', 'Gatling', 'Scripting language']",https://justjoin.it/job-offer/avsystem-qa-engineer-krakow-testing,10000.0,18000.0,PLN,14000.0
C++ Developer (Tuxedo),Experis Manpower Group,2025-01-08,26880-28560pln,"['Fully remote', 'C++', 'Tuxedo']",https://justjoin.it/job-offer/experis-manpower-group-c-developer-tuxedo--warszawa-c-18d010c4,26880.0,28560.0,PLN,27720.0
Senior ReactJS Developer (with backend experience),USEO Sp. z o.o.,2025-01-08,19200-22400pln,"['Fully remote', 'ReactJS', 'TypeScript', 'CSS3']",https://justjoin.it/job-offer/useo-sp-z-o-o--senior-reactjs-developer-with-backend-experience--wroclaw-javascript-1de6e8af,19200.0,22400.0,PLN,20800.0
Data Engineer,Kitopi,2025-01-04,16000-24000pln,"['Polish', 'English', 'Python']",https://justjoin.it/job-offer/kitopi-data-engineer-krakow-data,16000.0,24000.0,PLN,20000.0
Angular Developer (Mid/Senior),Experis Manpower Group,2025-01-08,20160-30240pln,"['Fully remote', 'TypeScript', 'RxJS', 'UI/UX']",https://justjoin.it/job-offer/experis-manpower-group-angular-developer-mid-senior--warszawa-ux,20160.0,30240.0,PLN,25200.0
Front-end Developer,Weegree Sp. z o.o.,2025-01-08,8500-12500pln,"['HTML5', 'CSS3', 'React']",https://justjoin.it/job-offer/weegree-sp-z-o-o--front-end-developer-opole-html,8500.0,12500.0,PLN,10500.0
Programista Java,Atende Industries,2025-01-08,10000-18000pln,"['Oracle SQL', 'Spring Boot', 'RabbitMQ']",https://justjoin.it/job-offer/atende-industries-programista-java-warszawa-java,10000.0,18000.0,PLN,14000.0
Front-end Architect,Experis Manpower Group,2025-01-08,30240-38640pln,"['Fully remote', 'Leadership skills', 'front-end development']",https://justjoin.it/job-offer/experis-manpower-group-front-end-architect-warszawa-architecture,30240.0,38640.0,PLN,34440.0
SAP Security Consultant,Experis Manpower Group,2025-01-08,28560-36960pln,"['Fully remote', 'SAP Security', 'Risk Management', 'SAP GRC']",https://justjoin.it/job-offer/experis-manpower-group-sap-security-consultant-lodz-erp,28560.0,36960.0,PLN,32760.0
