Tytuł,Firma,Data opublikowania,Wynagrodzenie,technologies_json,Link
Lead Java Engineer,N-iX,2025-01-08,25 392 - 30 716 pln,"[""Fully remote"", ""Spring Boot"", ""Maven"", ""Java""]",https://justjoin.it/job-offer/n-ix-lead-java-engineer-warszawa-java-f4f4f615
Senior C++ Software Engineer,HERE Technologies,2025-01-08,14 000 - 20 000 pln,"[""Fully remote"", ""C++"", ""Python"", ""TypeScript""]",https://justjoin.it/job-offer/here-technologies-senior-c-software-engineer-krakow-other
Senior DevOps Engineer (AWS),Future Processing,2025-01-08,21 000 - 33 200 pln,"[""Fully remote"", ""AWS"", ""Terraform"", ""Kubernetes""]",https://justjoin.it/job-offer/future-processing-senior-devops-engineer-aws--gliwice-devops
Lead Data Engineer (Snowflake),N-iX,2025-01-08,26 620 - 32 764 pln,"[""Fully remote"", ""Cloud"", ""DBT"", ""SQL""]",https://justjoin.it/job-offer/n-ix-lead-data-engineer-snowflake--warszawa-data
QA Engineer,AVSystem,2025-01-08,10 000 - 18 000 pln,"[""Networks"", ""Gatling"", ""Scripting language""]",https://justjoin.it/job-offer/avsystem-qa-engineer-krakow-testing
C++ Developer (Tuxedo),Experis Manpower Group,2025-01-08,26 880 - 28 560 pln,"[""Fully remote"", ""C++"", ""Tuxedo""]",https://justjoin.it/job-offer/experis-manpower-group-c-developer-tuxedo--warszawa-c-18d010c4
Senior ReactJS Developer (with backend experience),USEO Sp. z o.o.,2025-01-08,19 200 - 22 400 pln,"[""Fully remote"", ""ReactJS"", ""TypeScript"", ""CSS3""]",https://justjoin.it/job-offer/useo-sp-z-o-o--senior-reactjs-developer-with-backend-experience--wroclaw-javascript-1de6e8af
Data Engineer,Kitopi,2025-01-04,16 000 - 24 000 pln,"[""Polish"", ""English"", ""Python""]",https://justjoin.it/job-offer/kitopi-data-engineer-krakow-data
Angular Developer (Mid/Senior),Experis Manpower Group,2025-01-08,20 160 - 30 240 pln,"[""Fully remote"", ""TypeScript"", ""RxJS"", ""UI/UX""]",https://justjoin.it/job-offer/experis-manpower-group-angular-developer-mid-senior--warszawa-ux
Front-end Developer,Weegree Sp. z o.o.,2025-01-08,8 500 - 12 500 pln,"[""HTML5"", ""CSS3"", ""React""]",https://justjoin.it/job-offer/weegree-sp-z-o-o--front-end-developer-opole-html
